year,match_id,match_date,stage,group_stage,knockout_stage,home_team,away_team,home_score,away_score,total_goals,stadium_name,city_name,country_name,host_country,is_host_match,extra_time,penalty_shootout,attendance,is_partial_edition
2010,M-2010-64,2010-07-11,Final,0,1,Netherlands,Spain,0,1,1,Soccer City,Johannesburg,South Africa,South Africa,0,1,0,84490.0,0
2014,M-2014-01,2014-06-12,Group Stage,1,0,Brazil,Croatia,3,1,4,Arena Corinthians,São Paulo,Brazil,Brazil,1,0,0,62103.0,0
2014,M-2014-02,2014-06-13,Group Stage,1,0,Mexico,Cameroon,1,0,1,Arena das Dunas,Natal,Brazil,Brazil,0,0,0,39216.0,0
2014,M-2014-03,2014-06-13,Group Stage,1,0,Spain,Netherlands,1,5,6,Arena Fonte Nova,Salvador,Brazil,Brazil,0,0,0,48173.0,0
2014,M-2014-04,2014-06-13,Group Stage,1,0,Chile,Australia,3,1,4,Arena Pantanal,Cuiabá,Brazil,Brazil,0,0,0,40275.0,0
2014,M-2014-05,2014-06-14,Group Stage,1,0,Colombia,Greece,3,0,3,Estádio Mineirão,Belo Horizonte,Brazil,Brazil,0,0,0,57174.0,0
2014,M-2014-06,2014-06-14,Group Stage,1,0,Uruguay,Costa Rica,1,3,4,Estádio Castelão,Fortaleza,Brazil,Brazil,0,0,0,58679.0,0
2014,M-2014-07,2014-06-14,Group Stage,1,0,England,Italy,1,2,3,Arena da Amazônia,Manaus,Brazil,Brazil,0,0,0,39800.0,0
2014,M-2014-08,2014-06-14,Group Stage,1,0,Ivory Coast,Japan,2,1,3,Arena Pernambuco,Recife,Brazil,Brazil,0,0,0,40267.0,0
2014,M-2014-09,2014-06-15,Group Stage,1,0,Switzerland,Ecuador,2,1,3,Estádio Nacional,Brasília,Brazil,Brazil,0,0,0,68351.0,0
2014,M-2014-10,2014-06-15,Group Stage,1,0,France,Honduras,3,0,3,Estádio Beira-Rio,Porto Alegre,Brazil,Brazil,0,0,0,43012.0,0
2014,M-2014-11,2014-06-15,Group Stage,1,0,Argentina,Bosnia and Herzegovina,2,1,3,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,74738.0,0
2014,M-2014-12,2014-06-16,Group Stage,1,0,Germany,Portugal,4,0,4,Arena Fonte Nova,Salvador,Brazil,Brazil,0,0,0,51081.0,0
2014,M-2014-13,2014-06-16,Group Stage,1,0,Iran,Nigeria,0,0,0,Arena da Baixada,Curitiba,Brazil,Brazil,0,0,0,39081.0,0
2014,M-2014-14,2014-06-16,Group Stage,1,0,Ghana,United States,1,2,3,Arena das Dunas,Natal,Brazil,Brazil,0,0,0,39760.0,0
2014,M-2014-15,2014-06-17,Group Stage,1,0,Belgium,Algeria,2,1,3,Estádio Mineirão,Belo Horizonte,Brazil,Brazil,0,0,0,56800.0,0
2014,M-2014-16,2014-06-17,Group Stage,1,0,Brazil,Mexico,0,0,0,Estádio Castelão,Fortaleza,Brazil,Brazil,1,0,0,60342.0,0
2014,M-2014-17,2014-06-17,Group Stage,1,0,Russia,South Korea,1,1,2,Arena Pantanal,Cuiabá,Brazil,Brazil,0,0,0,37603.0,0
2014,M-2014-18,2014-06-18,Group Stage,1,0,Australia,Netherlands,2,3,5,Estádio Beira-Rio,Porto Alegre,Brazil,Brazil,0,0,0,42877.0,0
2014,M-2014-19,2014-06-18,Group Stage,1,0,Spain,Chile,0,2,2,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,74101.0,0
2014,M-2014-20,2014-06-18,Group Stage,1,0,Cameroon,Croatia,0,4,4,Arena da Amazônia,Manaus,Brazil,Brazil,0,0,0,39982.0,0
2014,M-2014-21,2014-06-19,Group Stage,1,0,Colombia,Ivory Coast,2,1,3,Estádio Nacional,Brasília,Brazil,Brazil,0,0,0,68748.0,0
2014,M-2014-22,2014-06-19,Group Stage,1,0,Uruguay,England,2,1,3,Arena Corinthians,São Paulo,Brazil,Brazil,0,0,0,62575.0,0
2014,M-2014-23,2014-06-19,Group Stage,1,0,Japan,Greece,0,0,0,Arena das Dunas,Natal,Brazil,Brazil,0,0,0,39485.0,0
2014,M-2014-24,2014-06-20,Group Stage,1,0,Italy,Costa Rica,0,1,1,Arena Pernambuco,Recife,Brazil,Brazil,0,0,0,40285.0,0
2014,M-2014-25,2014-06-20,Group Stage,1,0,Switzerland,France,2,5,7,Arena Fonte Nova,Salvador,Brazil,Brazil,0,0,0,51003.0,0
2014,M-2014-26,2014-06-20,Group Stage,1,0,Honduras,Ecuador,1,2,3,Arena da Baixada,Curitiba,Brazil,Brazil,0,0,0,39224.0,0
2014,M-2014-27,2014-06-21,Group Stage,1,0,Argentina,Iran,1,0,1,Estádio Mineirão,Belo Horizonte,Brazil,Brazil,0,0,0,57698.0,0
2014,M-2014-28,2014-06-21,Group Stage,1,0,Germany,Ghana,2,2,4,Estádio Castelão,Fortaleza,Brazil,Brazil,0,0,0,59621.0,0
2014,M-2014-29,2014-06-21,Group Stage,1,0,Nigeria,Bosnia and Herzegovina,1,0,1,Arena Pantanal,Cuiabá,Brazil,Brazil,0,0,0,40499.0,0
2014,M-2014-30,2014-06-22,Group Stage,1,0,Belgium,Russia,1,0,1,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,73819.0,0
2014,M-2014-31,2014-06-22,Group Stage,1,0,South Korea,Algeria,2,4,6,Estádio Beira-Rio,Porto Alegre,Brazil,Brazil,0,0,0,42732.0,0
2014,M-2014-32,2014-06-22,Group Stage,1,0,United States,Portugal,2,2,4,Arena da Amazônia,Manaus,Brazil,Brazil,0,0,0,40123.0,0
2014,M-2014-33,2014-06-23,Group Stage,1,0,Australia,Spain,0,3,3,Arena da Baixada,Curitiba,Brazil,Brazil,0,0,0,39375.0,0
2014,M-2014-34,2014-06-23,Group Stage,1,0,Netherlands,Chile,2,0,2,Arena Corinthians,São Paulo,Brazil,Brazil,0,0,0,62996.0,0
2014,M-2014-35,2014-06-23,Group Stage,1,0,Cameroon,Brazil,1,4,5,Estádio Nacional,Brasília,Brazil,Brazil,1,0,0,69112.0,0
2014,M-2014-36,2014-06-23,Group Stage,1,0,Croatia,Mexico,1,3,4,Arena Pernambuco,Recife,Brazil,Brazil,0,0,0,41212.0,0
2014,M-2014-37,2014-06-24,Group Stage,1,0,Costa Rica,England,0,0,0,Estádio Mineirão,Belo Horizonte,Brazil,Brazil,0,0,0,57823.0,0
2014,M-2014-38,2014-06-24,Group Stage,1,0,Italy,Uruguay,0,1,1,Arena das Dunas,Natal,Brazil,Brazil,0,0,0,39706.0,0
2014,M-2014-39,2014-06-24,Group Stage,1,0,Japan,Colombia,1,4,5,Arena Pantanal,Cuiabá,Brazil,Brazil,0,0,0,40340.0,0
2014,M-2014-40,2014-06-24,Group Stage,1,0,Greece,Ivory Coast,2,1,3,Estádio Castelão,Fortaleza,Brazil,Brazil,0,0,0,59095.0,0
2014,M-2014-41,2014-06-25,Group Stage,1,0,Bosnia and Herzegovina,Iran,3,1,4,Arena Fonte Nova,Salvador,Brazil,Brazil,0,0,0,48011.0,0
2014,M-2014-42,2014-06-25,Group Stage,1,0,Nigeria,Argentina,2,3,5,Estádio Beira-Rio,Porto Alegre,Brazil,Brazil,0,0,0,43285.0,0
2014,M-2014-43,2014-06-25,Group Stage,1,0,Honduras,Switzerland,0,3,3,Arena da Amazônia,Manaus,Brazil,Brazil,0,0,0,40322.0,0
2014,M-2014-44,2014-06-25,Group Stage,1,0,Ecuador,France,0,0,0,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,73749.0,0
2014,M-2014-45,2014-06-26,Group Stage,1,0,Portugal,Ghana,2,1,3,Estádio Nacional,Brasília,Brazil,Brazil,0,0,0,67540.0,0
2014,M-2014-46,2014-06-26,Group Stage,1,0,United States,Germany,0,1,1,Arena Pernambuco,Recife,Brazil,Brazil,0,0,0,41876.0,0
2014,M-2014-47,2014-06-26,Group Stage,1,0,Algeria,Russia,1,1,2,Arena da Baixada,Curitiba,Brazil,Brazil,0,0,0,39311.0,0
2014,M-2014-48,2014-06-26,Group Stage,1,0,South Korea,Belgium,0,1,1,Arena Corinthians,São Paulo,Brazil,Brazil,0,0,0,61397.0,0
2014,M-2014-49,2014-06-28,Round Of 16,0,1,Brazil,Chile,1,1,2,Estádio Mineirão,Belo Horizonte,Brazil,Brazil,1,1,1,57714.0,0
2014,M-2014-50,2014-06-28,Round Of 16,0,1,Colombia,Uruguay,2,0,2,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,73804.0,0
2014,M-2014-51,2014-06-29,Round Of 16,0,1,Netherlands,Mexico,2,1,3,Estádio Castelão,Fortaleza,Brazil,Brazil,0,0,0,58817.0,0
2014,M-2014-52,2014-06-29,Round Of 16,0,1,Costa Rica,Greece,1,1,2,Arena Pernambuco,Recife,Brazil,Brazil,0,1,1,41242.0,0
2014,M-2014-53,2014-06-30,Round Of 16,0,1,France,Nigeria,2,0,2,Estádio Nacional,Brasília,Brazil,Brazil,0,0,0,67882.0,0
2014,M-2014-54,2014-06-30,Round Of 16,0,1,Germany,Algeria,2,1,3,Estádio Beira-Rio,Porto Alegre,Brazil,Brazil,0,1,0,43063.0,0
2014,M-2014-55,2014-07-01,Round Of 16,0,1,Argentina,Switzerland,1,0,1,Arena Corinthians,São Paulo,Brazil,Brazil,0,1,0,63255.0,0
2014,M-2014-56,2014-07-01,Round Of 16,0,1,Belgium,United States,2,1,3,Arena Fonte Nova,Salvador,Brazil,Brazil,0,1,0,51227.0,0
2014,M-2014-57,2014-07-04,Quarter-Finals,0,1,France,Germany,0,1,1,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,74240.0,0
2014,M-2014-58,2014-07-04,Quarter-Finals,0,1,Brazil,Colombia,2,1,3,Estádio Castelão,Fortaleza,Brazil,Brazil,1,0,0,60342.0,0
2014,M-2014-59,2014-07-05,Quarter-Finals,0,1,Argentina,Belgium,1,0,1,Estádio Nacional,Brasília,Brazil,Brazil,0,0,0,68551.0,0
2014,M-2014-60,2014-07-05,Quarter-Finals,0,1,Netherlands,Costa Rica,0,0,0,Arena Fonte Nova,Salvador,Brazil,Brazil,0,1,1,51179.0,0
2014,M-2014-61,2014-07-08,Semi-Finals,0,1,Brazil,Germany,1,7,8,Estádio Mineirão,Belo Horizonte,Brazil,Brazil,1,0,0,58141.0,0
2014,M-2014-62,2014-07-09,Semi-Finals,0,1,Netherlands,Argentina,0,0,0,Arena Corinthians,São Paulo,Brazil,Brazil,0,1,1,63267.0,0
2014,M-2014-63,2014-07-12,Third-Place Match,0,1,Brazil,Netherlands,0,3,3,Estádio Nacional,Brasília,Brazil,Brazil,1,0,0,68034.0,0
2014,M-2014-64,2014-07-13,Final,0,1,Germany,Argentina,1,0,1,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,1,0,74738.0,0
2018,M-2018-01,2018-06-14,Group Stage,1,0,Russia,Saudi Arabia,5,0,5,Luzhniki Stadium,Moscow,Russia,Russia,1,0,0,78011.0,0
2018,M-2018-02,2018-06-15,Group Stage,1,0,Egypt,Uruguay,0,1,1,Central Stadium,Yekaterinburg,Russia,Russia,0,0,0,27015.0,0
2018,M-2018-03,2018-06-15,Group Stage,1,0,Morocco,Iran,0,1,1,Krestovsky Stadium,Saint Petersburg,Russia,Russia,0,0,0,62548.0,0
2018,M-2018-04,2018-06-15,Group Stage,1,0,Portugal,Spain,3,3,6,Fisht Olympic Stadium,Sochi,Russia,Russia,0,0,0,43866.0,0
2018,M-2018-05,2018-06-16,Group Stage,1,0,France,Australia,2,1,3,Kazan Arena,Kazan,Russia,Russia,0,0,0,41279.0,0
2018,M-2018-06,2018-06-16,Group Stage,1,0,Argentina,Iceland,1,1,2,Otkritie Arena,Moscow,Russia,Russia,0,0,0,44190.0,0
2018,M-2018-07,2018-06-16,Group Stage,1,0,Peru,Denmark,0,1,1,Mordovia Arena,Saransk,Russia,Russia,0,0,0,40502.0,0
2018,M-2018-08,2018-06-16,Group Stage,1,0,Croatia,Nigeria,2,0,2,Kaliningrad Stadium,Kaliningrad,Russia,Russia,0,0,0,31136.0,0
2018,M-2018-09,2018-06-17,Group Stage,1,0,Costa Rica,Serbia,0,1,1,Samara Arena,Samara,Russia,Russia,0,0,0,41432.0,0
2018,M-2018-10,2018-06-17,Group Stage,1,0,Germany,Mexico,0,1,1,Luzhniki Stadium,Moscow,Russia,Russia,0,0,0,78011.0,0
2018,M-2018-11,2018-06-17,Group Stage,1,0,Brazil,Switzerland,1,1,2,Rostov Arena,Rostov-on-Don,Russia,Russia,0,0,0,43109.0,0
2018,M-2018-12,2018-06-18,Group Stage,1,0,Sweden,South Korea,1,0,1,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,Russia,0,0,0,42300.0,0
2018,M-2018-13,2018-06-18,Group Stage,1,0,Belgium,Panama,3,0,3,Fisht Olympic Stadium,Sochi,Russia,Russia,0,0,0,43257.0,0
2018,M-2018-14,2018-06-18,Group Stage,1,0,Tunisia,England,1,2,3,Volgograd Arena,Volgograd,Russia,Russia,0,0,0,41064.0,0
2018,M-2018-15,2018-06-19,Group Stage,1,0,Colombia,Japan,1,2,3,Mordovia Arena,Saransk,Russia,Russia,0,0,0,40842.0,0
2018,M-2018-16,2018-06-19,Group Stage,1,0,Poland,Senegal,1,2,3,Otkritie Arena,Moscow,Russia,Russia,0,0,0,44190.0,0
2018,M-2018-17,2018-06-19,Group Stage,1,0,Russia,Egypt,3,1,4,Krestovsky Stadium,Saint Petersburg,Russia,Russia,1,0,0,64468.0,0
2018,M-2018-18,2018-06-20,Group Stage,1,0,Portugal,Morocco,1,0,1,Luzhniki Stadium,Moscow,Russia,Russia,0,0,0,78011.0,0
2018,M-2018-19,2018-06-20,Group Stage,1,0,Uruguay,Saudi Arabia,1,0,1,Rostov Arena,Rostov-on-Don,Russia,Russia,0,0,0,42678.0,0
2018,M-2018-20,2018-06-20,Group Stage,1,0,Iran,Spain,0,1,1,Kazan Arena,Kazan,Russia,Russia,0,0,0,42718.0,0
2018,M-2018-21,2018-06-21,Group Stage,1,0,Denmark,Australia,1,1,2,Samara Arena,Samara,Russia,Russia,0,0,0,40727.0,0
2018,M-2018-22,2018-06-21,Group Stage,1,0,France,Peru,1,0,1,Central Stadium,Yekaterinburg,Russia,Russia,0,0,0,32789.0,0
2018,M-2018-23,2018-06-21,Group Stage,1,0,Argentina,Croatia,0,3,3,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,Russia,0,0,0,43319.0,0
2018,M-2018-24,2018-06-22,Group Stage,1,0,Brazil,Costa Rica,2,0,2,Krestovsky Stadium,Saint Petersburg,Russia,Russia,0,0,0,64468.0,0
2018,M-2018-25,2018-06-22,Group Stage,1,0,Nigeria,Iceland,2,0,2,Volgograd Arena,Volgograd,Russia,Russia,0,0,0,40904.0,0
2018,M-2018-26,2018-06-22,Group Stage,1,0,Serbia,Switzerland,1,2,3,Kaliningrad Stadium,Kaliningrad,Russia,Russia,0,0,0,33167.0,0
2018,M-2018-27,2018-06-23,Group Stage,1,0,Belgium,Tunisia,5,2,7,Otkritie Arena,Moscow,Russia,Russia,0,0,0,44190.0,0
2018,M-2018-28,2018-06-23,Group Stage,1,0,South Korea,Mexico,1,2,3,Rostov Arena,Rostov-on-Don,Russia,Russia,0,0,0,43472.0,0
2018,M-2018-29,2018-06-23,Group Stage,1,0,Germany,Sweden,2,1,3,Fisht Olympic Stadium,Sochi,Russia,Russia,0,0,0,44287.0,0
2018,M-2018-30,2018-06-24,Group Stage,1,0,England,Panama,6,1,7,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,Russia,0,0,0,43319.0,0
2018,M-2018-31,2018-06-24,Group Stage,1,0,Japan,Senegal,2,2,4,Central Stadium,Yekaterinburg,Russia,Russia,0,0,0,32572.0,0
2018,M-2018-32,2018-06-24,Group Stage,1,0,Poland,Colombia,0,3,3,Kazan Arena,Kazan,Russia,Russia,0,0,0,42873.0,0
2018,M-2018-33,2018-06-25,Group Stage,1,0,Saudi Arabia,Egypt,2,1,3,Volgograd Arena,Volgograd,Russia,Russia,0,0,0,36823.0,0
2018,M-2018-34,2018-06-25,Group Stage,1,0,Uruguay,Russia,3,0,3,Samara Arena,Samara,Russia,Russia,1,0,0,41970.0,0
2018,M-2018-35,2018-06-25,Group Stage,1,0,Spain,Morocco,2,2,4,Kaliningrad Stadium,Kaliningrad,Russia,Russia,0,0,0,33973.0,0
2018,M-2018-36,2018-06-25,Group Stage,1,0,Iran,Portugal,1,1,2,Mordovia Arena,Saransk,Russia,Russia,0,0,0,41685.0,0
2018,M-2018-37,2018-06-26,Group Stage,1,0,Australia,Peru,0,2,2,Fisht Olympic Stadium,Sochi,Russia,Russia,0,0,0,44073.0,0
2018,M-2018-38,2018-06-26,Group Stage,1,0,Denmark,France,0,0,0,Luzhniki Stadium,Moscow,Russia,Russia,0,0,0,78011.0,0
2018,M-2018-39,2018-06-26,Group Stage,1,0,Iceland,Croatia,1,2,3,Rostov Arena,Rostov-on-Don,Russia,Russia,0,0,0,43472.0,0
2018,M-2018-40,2018-06-26,Group Stage,1,0,Nigeria,Argentina,1,2,3,Krestovsky Stadium,Saint Petersburg,Russia,Russia,0,0,0,64468.0,0
2018,M-2018-41,2018-06-27,Group Stage,1,0,South Korea,Germany,2,0,2,Kazan Arena,Kazan,Russia,Russia,0,0,0,41835.0,0
2018,M-2018-42,2018-06-27,Group Stage,1,0,Mexico,Sweden,0,3,3,Central Stadium,Yekaterinburg,Russia,Russia,0,0,0,33061.0,0
2018,M-2018-43,2018-06-27,Group Stage,1,0,Serbia,Brazil,0,2,2,Otkritie Arena,Moscow,Russia,Russia,0,0,0,44190.0,0
2018,M-2018-44,2018-06-27,Group Stage,1,0,Switzerland,Costa Rica,2,2,4,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,Russia,0,0,0,43319.0,0
2018,M-2018-45,2018-06-28,Group Stage,1,0,Japan,Poland,0,1,1,Volgograd Arena,Volgograd,Russia,Russia,0,0,0,42189.0,0
2018,M-2018-46,2018-06-28,Group Stage,1,0,Senegal,Colombia,0,1,1,Samara Arena,Samara,Russia,Russia,0,0,0,41970.0,0
2018,M-2018-47,2018-06-28,Group Stage,1,0,England,Belgium,0,1,1,Kaliningrad Stadium,Kaliningrad,Russia,Russia,0,0,0,33973.0,0
2018,M-2018-48,2018-06-28,Group Stage,1,0,Panama,Tunisia,1,2,3,Mordovia Arena,Saransk,Russia,Russia,0,0,0,37168.0,0
2018,M-2018-49,2018-06-30,Round Of 16,0,1,France,Argentina,4,3,7,Kazan Arena,Kazan,Russia,Russia,0,0,0,42873.0,0
2018,M-2018-50,2018-06-30,Round Of 16,0,1,Uruguay,Portugal,2,1,3,Fisht Olympic Stadium,Sochi,Russia,Russia,0,0,0,44287.0,0
2018,M-2018-51,2018-07-01,Round Of 16,0,1,Spain,Russia,1,1,2,Luzhniki Stadium,Moscow,Russia,Russia,1,1,1,78011.0,0
2018,M-2018-52,2018-07-01,Round Of 16,0,1,Croatia,Denmark,1,1,2,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,Russia,0,1,1,40851.0,0
2018,M-2018-53,2018-07-02,Round Of 16,0,1,Brazil,Mexico,2,0,2,Samara Arena,Samara,Russia,Russia,0,0,0,41970.0,0
2018,M-2018-54,2018-07-02,Round Of 16,0,1,Belgium,Japan,3,2,5,Rostov Arena,Rostov-on-Don,Russia,Russia,0,0,0,41466.0,0
2018,M-2018-55,2018-07-03,Round Of 16,0,1,Sweden,Switzerland,1,0,1,Krestovsky Stadium,Saint Petersburg,Russia,Russia,0,0,0,64042.0,0
2018,M-2018-56,2018-07-03,Round Of 16,0,1,Colombia,England,1,1,2,Otkritie Arena,Moscow,Russia,Russia,0,1,1,44190.0,0
2018,M-2018-57,2018-07-06,Quarter-Finals,0,1,Uruguay,France,0,2,2,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,Russia,0,0,0,43319.0,0
2018,M-2018-58,2018-07-06,Quarter-Finals,0,1,Brazil,Belgium,1,2,3,Kazan Arena,Kazan,Russia,Russia,0,0,0,42873.0,0
2018,M-2018-59,2018-07-07,Quarter-Finals,0,1,Sweden,England,0,2,2,Samara Arena,Samara,Russia,Russia,0,0,0,39991.0,0
2018,M-2018-60,2018-07-07,Quarter-Finals,0,1,Russia,Croatia,2,2,4,Fisht Olympic Stadium,Sochi,Russia,Russia,1,1,1,44287.0,0
2018,M-2018-61,2018-07-10,Semi-Finals,0,1,France,Belgium,1,0,1,Krestovsky Stadium,Saint Petersburg,Russia,Russia,0,0,0,64286.0,0
2018,M-2018-62,2018-07-11,Semi-Finals,0,1,Croatia,England,2,1,3,Luzhniki Stadium,Moscow,Russia,Russia,0,1,0,78011.0,0
2018,M-2018-63,2018-07-14,Third-Place Match,0,1,Belgium,England,2,0,2,Krestovsky Stadium,Saint Petersburg,Russia,Russia,0,0,0,64406.0,0
2018,M-2018-64,2018-07-15,Final,0,1,France,Croatia,4,2,6,Luzhniki Stadium,Moscow,Russia,Russia,0,0,0,78011.0,0
2022,M-2022-01,2022-11-20,Group Stage,1,0,Qatar,Ecuador,0,2,2,Al Bayt Stadium,Al Khor,Qatar,Qatar,1,0,0,67372.0,0
2022,M-2022-02,2022-11-21,Group Stage,1,0,England,Iran,6,2,8,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,45334.0,0
2022,M-2022-03,2022-11-21,Group Stage,1,0,Senegal,Netherlands,0,2,2,Al Thumama Stadium,Doha,Qatar,Qatar,0,0,0,41721.0,0
2022,M-2022-04,2022-11-21,Group Stage,1,0,United States,Wales,1,1,2,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Qatar,0,0,0,43418.0,0
2022,M-2022-05,2022-11-22,Group Stage,1,0,Argentina,Saudi Arabia,1,2,3,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,88012.0,0
2022,M-2022-06,2022-11-22,Group Stage,1,0,Denmark,Tunisia,0,0,0,Education City Stadium,Al Rayyan,Qatar,Qatar,0,0,0,42925.0,0
2022,M-2022-07,2022-11-22,Group Stage,1,0,Mexico,Poland,0,0,0,Stadium 974,Doha,Qatar,Qatar,0,0,0,39369.0,0
2022,M-2022-08,2022-11-22,Group Stage,1,0,France,Australia,4,1,5,Al Janoub Stadium,Al Wakrah,Qatar,Qatar,0,0,0,40875.0,0
2022,M-2022-09,2022-11-23,Group Stage,1,0,Morocco,Croatia,0,0,0,Al Bayt Stadium,Al Khor,Qatar,Qatar,0,0,0,59407.0,0
2022,M-2022-10,2022-11-23,Group Stage,1,0,Germany,Japan,1,2,3,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,42608.0,0
2022,M-2022-11,2022-11-23,Group Stage,1,0,Spain,Costa Rica,7,0,7,Al Thumama Stadium,Doha,Qatar,Qatar,0,0,0,40013.0,0
2022,M-2022-12,2022-11-23,Group Stage,1,0,Belgium,Canada,1,0,1,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Qatar,0,0,0,40432.0,0
2022,M-2022-13,2022-11-24,Group Stage,1,0,Switzerland,Cameroon,1,0,1,Al Janoub Stadium,Al Wakrah,Qatar,Qatar,0,0,0,39089.0,0
2022,M-2022-14,2022-11-24,Group Stage,1,0,Uruguay,South Korea,0,0,0,Education City Stadium,Al Rayyan,Qatar,Qatar,0,0,0,41663.0,0
2022,M-2022-15,2022-11-24,Group Stage,1,0,Portugal,Ghana,3,2,5,Stadium 974,Doha,Qatar,Qatar,0,0,0,42662.0,0
2022,M-2022-16,2022-11-24,Group Stage,1,0,Brazil,Serbia,2,0,2,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,88103.0,0
2022,M-2022-17,2022-11-25,Group Stage,1,0,Wales,Iran,0,2,2,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Qatar,0,0,0,40875.0,0
2022,M-2022-18,2022-11-25,Group Stage,1,0,Qatar,Senegal,1,3,4,Al Thumama Stadium,Doha,Qatar,Qatar,1,0,0,41797.0,0
2022,M-2022-19,2022-11-25,Group Stage,1,0,Netherlands,Ecuador,1,1,2,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44833.0,0
2022,M-2022-20,2022-11-25,Group Stage,1,0,England,United States,0,0,0,Al Bayt Stadium,Al Khor,Qatar,Qatar,0,0,0,68463.0,0
2022,M-2022-21,2022-11-26,Group Stage,1,0,Tunisia,Australia,0,1,1,Al Janoub Stadium,Al Wakrah,Qatar,Qatar,0,0,0,41823.0,0
2022,M-2022-22,2022-11-26,Group Stage,1,0,Poland,Saudi Arabia,2,0,2,Education City Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44259.0,0
2022,M-2022-23,2022-11-26,Group Stage,1,0,France,Denmark,2,1,3,Stadium 974,Doha,Qatar,Qatar,0,0,0,42860.0,0
2022,M-2022-24,2022-11-26,Group Stage,1,0,Argentina,Mexico,2,0,2,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,88966.0,0
2022,M-2022-25,2022-11-27,Group Stage,1,0,Japan,Costa Rica,0,1,1,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Qatar,0,0,0,41479.0,0
2022,M-2022-26,2022-11-27,Group Stage,1,0,Belgium,Morocco,0,2,2,Al Thumama Stadium,Doha,Qatar,Qatar,0,0,0,43738.0,0
2022,M-2022-27,2022-11-27,Group Stage,1,0,Croatia,Canada,4,1,5,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44374.0,0
2022,M-2022-28,2022-11-27,Group Stage,1,0,Spain,Germany,1,1,2,Al Bayt Stadium,Al Khor,Qatar,Qatar,0,0,0,68895.0,0
2022,M-2022-29,2022-11-28,Group Stage,1,0,Cameroon,Serbia,3,3,6,Al Janoub Stadium,Al Wakrah,Qatar,Qatar,0,0,0,39789.0,0
2022,M-2022-30,2022-11-28,Group Stage,1,0,South Korea,Ghana,2,3,5,Education City Stadium,Al Rayyan,Qatar,Qatar,0,0,0,43983.0,0
2022,M-2022-31,2022-11-28,Group Stage,1,0,Brazil,Switzerland,1,0,1,Stadium 974,Doha,Qatar,Qatar,0,0,0,43649.0,0
2022,M-2022-32,2022-11-28,Group Stage,1,0,Portugal,Uruguay,2,0,2,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,88668.0,0
2022,M-2022-33,2022-11-29,Group Stage,1,0,Ecuador,Senegal,1,2,3,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44569.0,0
2022,M-2022-34,2022-11-29,Group Stage,1,0,Netherlands,Qatar,2,0,2,Al Bayt Stadium,Al Khor,Qatar,Qatar,1,0,0,66784.0,0
2022,M-2022-35,2022-11-29,Group Stage,1,0,Iran,United States,0,1,1,Al Thumama Stadium,Doha,Qatar,Qatar,0,0,0,42127.0,0
2022,M-2022-36,2022-11-29,Group Stage,1,0,Wales,England,0,3,3,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44297.0,0
2022,M-2022-37,2022-11-30,Group Stage,1,0,Australia,Denmark,1,0,1,Al Janoub Stadium,Al Wakrah,Qatar,Qatar,0,0,0,41232.0,0
2022,M-2022-38,2022-11-30,Group Stage,1,0,Tunisia,France,1,0,1,Education City Stadium,Al Rayyan,Qatar,Qatar,0,0,0,43627.0,0
2022,M-2022-39,2022-11-30,Group Stage,1,0,Poland,Argentina,0,2,2,Stadium 974,Doha,Qatar,Qatar,0,0,0,44089.0,0
2022,M-2022-40,2022-11-30,Group Stage,1,0,Saudi Arabia,Mexico,1,2,3,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,84985.0,0
